1;Handjes Chocolate;Traditional Antwerp chocolate shaped like a hand, symbolizing the city's legend.;1
2;Bollekes Beer;A refreshing Belgian beer brewed in Antwerp, known as 'Bolleke' by locals.;2
3;Antwerpse Koek;Crispy and buttery Antwerp-style biscuits, perfect with coffee.;2
4;Diamant Grinder;A finely crafted diamond grinder, a nod to Antwerp’s famous diamond district.;1
5;Scheldt Gin;Premium gin infused with botanicals inspired by the Scheldt River region.;1
6;Rubens Art Print;A high-quality art print featuring a masterpiece by Peter Paul Rubens.;2
7;Kathedraal Souvenir;A beautifully crafted miniature replica of the Antwerp Cathedral.;2
8;Museum Pass;Access to all major Antwerp museums with this convenient pass.;2
9;MAS Keychain;A stylish keychain featuring the iconic MAS museum.;1
10;Groenplaats Mug;A ceramic mug inspired by Antwerp’s famous Groenplaats square.;2
11;Antwerpse Nello T-shirt;A soft cotton T-shirt featuring Nello and Patrasche, the city's beloved tale.;2
12;Zurenborg Poster;A vintage-style poster of Antwerp’s famous Zurenborg district.;1
13;Flandrien Cycling Cap;A classic cycling cap honoring the Flemish cycling heritage.;1
14;Belgian Lace Scarf;An elegant lace scarf made in the traditional Belgian style.;2
15;Meir Shopping Bag;A durable and stylish tote bag featuring Antwerp’s Meir shopping street.;2
16;Haven Port Wine;A bottle of premium wine celebrating Antwerp’s port history.;2
17;Onze-Lieve-Vrouw Candle;A candle infused with scents inspired by Antwerp’s iconic cathedral.;1
18;Biscuit Amandelbrood;Traditional almond-flavored biscuits, a favorite in Antwerp cafés.;1
19;De Koninck Glass;A signature beer glass for enjoying De Koninck’s famous 'Bolleke'.;1
20;Antwerp Harbor Model;A detailed model of Antwerp’s world-famous harbor and docks.;1
21;Jazz Middelheim Vinyl;A vinyl record featuring live performances from Jazz Middelheim Festival.;2
22;ModeMuseum Tote Bag;A trendy tote bag from Antwerp’s famous ModeMuseum (MoMu).;1
23;Zaha Hadid Architect Book;A stunning book on Zaha Hadid's architectural masterpiece in Antwerp.;2
24;Antwerp Central Station Puzzle;A 1000-piece puzzle featuring Antwerp Central Station’s historic beauty.;2
25;Linkeroever Painting;A picturesque painting inspired by the views of Linkeroever.;2
26;Diamond Museum Entry;An exclusive ticket to Antwerp’s Diamond Museum showcasing its history.;1
27;Antwerp Fashion Scarf;A luxurious silk scarf inspired by Antwerp’s high-fashion scene.;2
28;Hanzesteden Guide;A detailed guide to Antwerp’s historic Hanseatic League trading history.;2
29;Nottebohm Room Notebook;A beautifully crafted notebook inspired by the Nottebohm Room at the library.;1
30;Chocolate Tasting Box;A gourmet box of fine Belgian chocolates for true connoisseurs.;2
31;Stadshaven Olive Oil;A premium bottle of Antwerp’s finest artisanal olive oil.;1
32;MAS Museum Book;A museum guide filled with insights about the MAS museum exhibitions.;2
33;Cathedral Bells CD;A CD recording of the stunning chimes of the Cathedral of Our Lady.;1
34;Grote Markt Snow Globe;A snow globe featuring the charming architecture of Antwerp’s Grote Markt.;1
35;Hobokense Polder Honey;Locally sourced honey from the green landscapes of Hobokense Polder.;1
36;Antwerp Zoo Plush;A plush toy inspired by one of the animals from Antwerp Zoo.;1
37;Bourla Theater Ticket;A collectible ticket to a performance at the historic Bourla Theater.;2
38;Felixpakhuis Coffee Blend;A premium coffee blend roasted in Antwerp’s Felixpakhuis.;2
39;Opera Ballet Antwerp DVD;A DVD showcasing the finest performances from the Opera Ballet Antwerp.;2
40;Schelde River Map;A beautifully designed map tracing the history of the Schelde River.;2
41;De Keyserlei Umbrella;A stylish umbrella featuring Antwerp’s famous De Keyserlei street.;2
42;KBC Tower Model;A collectible scale model of Antwerp’s iconic KBC Tower.;2
43;Antwerpse Handjes Cookie Cutter;A cookie cutter shaped like Antwerpse Handjes, perfect for baking.;2
44;Het Steen Postcard Set;A postcard set featuring stunning views of Antwerp’s Het Steen castle.;1
45;Bourlaschouwburg Candle;A luxury candle inspired by the elegant Bourlaschouwburg theater.;2
46;Antwerpse Handbag;A high-quality leather handbag, a must-have from Antwerp’s fashion district.;2
47;Havenhuis Desk Ornament;A sleek desk ornament inspired by the unique design of Havenhuis.;1
48;Rubenshuis Bookmark;A gold-foil bookmark featuring Rubens’ famous artworks.;2
49;Biscuit Speculoos;A box of speculoos biscuits, the perfect Flemish treat.;2
50;Sint-Annatunnel Poster;A vintage-style poster of the historic Sint-Annatunnel pedestrian tunnel.;1
